GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
cardio_generator,com.cardio_generator.outputs,ConsoleOutputStrategy,0,28,0,0,0,3,0,2,0,2
cardio_generator,com.cardio_generator.outputs,WebSocketClient,3,0,0,0,1,0,1,0,1,0
cardio_generator,com.cardio_generator.outputs,WebSocketOutputStrategy,0,59,0,2,0,10,0,3,0,2
cardio_generator,com.cardio_generator.outputs,WebSocketOutputStrategy.SimpleWebSocketServer,18,8,0,0,7,4,4,2,4,2
cardio_generator,com.cardio_generator.outputs,FileOutputStrategy,0,104,0,0,0,18,0,3,0,3
cardio_generator,com.cardio_generator.outputs,TcpOutputStrategy,29,50,0,2,9,10,1,3,1,2
cardio_generator,com.cardio_generator.generators,BloodSaturationDataGenerator,7,65,0,2,3,14,0,4,0,3
cardio_generator,com.cardio_generator.generators,ECGDataGenerator,7,104,0,2,3,18,0,5,0,4
cardio_generator,com.cardio_generator.generators,BloodLevelsDataGenerator,7,122,0,2,3,19,0,4,0,3
cardio_generator,com.cardio_generator.generators,AlertGenerator,0,71,1,7,0,18,1,6,0,3
cardio_generator,com.cardio_generator.generators,HealthDataGenerator,0,139,0,6,0,30,0,7,0,4
cardio_generator,com.cardio_generator.generators,BloodPressureDataGenerator,7,111,0,2,3,22,0,4,0,3
cardio_generator,com.data_management,Patient,0,59,0,6,0,14,0,6,0,3
cardio_generator,com.data_management,DataStorage,24,96,2,6,7,21,2,8,0,6
cardio_generator,com.data_management,PatientRecord,0,27,0,0,0,10,0,5,0,5
cardio_generator,com.data_management,FileDataReader,8,150,1,11,2,41,1,10,0,5
cardio_generator,com.alerts,Alert,3,18,0,0,1,7,1,3,1,3
cardio_generator,com.alerts,AlertGenerator,15,964,9,119,4,206,10,69,1,14
cardio_generator,com.cardio_generator,HealthDataSimulator,53,287,5,19,13,70,10,16,5,8
